"outcome.type","n.cluster","mean.size","coef.var","ICC","ICC2","model","true.model","method","ddf","type.I.error"
"binary",10,50,0,"0.001",0.00449593472283836,1,"A","LRT","BW1",0.0154
"binary",10,50,0,"0.001",0.00431714681932947,1,"B","LRT","BW1",0.011
"binary",10,50,0,"0.001",0.004620913961347,1,"C","LRT","BW1",0.0132
"binary",10,50,0,"0.001",0.00450216861886303,1,"D","LRT","BW1",0.0108
"count",10,50,0,"0.001",0.00424853782655788,1,"A","LRT","BW1",0.0168
"count",10,50,0,"0.001",0.00412585390363931,1,"B","LRT","BW1",0.0154
"count",10,50,0,"0.001",0.0048521186831175,1,"C","LRT","BW1",0.0172
"count",10,50,0,"0.001",0.00462921541482113,1,"D","LRT","BW1",0.0118
"binary",10,50,0,"0.01",0.00973678837011919,1,"A","LRT","BW1",0.0246
"binary",10,50,0,"0.01",0.0096122847700629,1,"B","LRT","BW1",0.0262
"binary",10,50,0,"0.01",0.00971191760517755,1,"C","LRT","BW1",0.0278
"binary",10,50,0,"0.01",0.00940773638884316,1,"D","LRT","BW1",0.0188
"count",10,50,0,"0.01",0.00927731023193436,1,"A","LRT","BW1",0.0238
"count",10,50,0,"0.01",0.00828740294437178,1,"B","LRT","BW1",0.0212
"count",10,50,0,"0.01",0.010752071871327,1,"C","LRT","BW1",0.025
"count",10,50,0,"0.01",0.00883671251231315,1,"D","LRT","BW1",0.0208
"binary",10,50,0,"0.05",0.0400781342365819,1,"A","LRT","BW1",0.045
"binary",10,50,0,"0.05",0.0364914383227794,1,"B","LRT","BW1",0.039
"binary",10,50,0,"0.05",0.0375596121701854,1,"C","LRT","BW1",0.049
"binary",10,50,0,"0.05",0.0341389110970968,1,"D","LRT","BW1",0.038
"count",10,50,0,"0.05",0.035098615512304,1,"A","LRT","BW1",0.0418
"count",10,50,0,"0.05",0.0313039934715453,1,"B","LRT","BW1",0.0338
"count",10,50,0,"0.05",0.0435189326285133,1,"C","LRT","BW1",0.0436
"count",10,50,0,"0.05",0.0310095909462167,1,"D","LRT","BW1",0.039
"binary",10,50,0,"0.1",0.0774747561313538,1,"A","LRT","BW1",0.0446
"binary",10,50,0,"0.1",0.0716307960100197,1,"B","LRT","BW1",0.038
"binary",10,50,0,"0.1",0.0742825304182774,1,"C","LRT","BW1",0.0566
"binary",10,50,0,"0.1",0.0678440993952362,1,"D","LRT","BW1",0.045
"count",10,50,0,"0.1",0.0714045548736794,1,"A","LRT","BW1",0.0468
"count",10,50,0,"0.1",0.0630689712002351,1,"B","LRT","BW1",0.0382
"count",10,50,0,"0.1",0.0859146558709226,1,"C","LRT","BW1",0.0574
"count",10,50,0,"0.1",0.0609594046876261,1,"D","LRT","BW1",0.0484
"binary",10,50,0,"0.2",0.149096988026555,1,"A","LRT","BW1",0.0452
"binary",10,50,0,"0.2",0.139704122895811,1,"B","LRT","BW1",0.0348
"binary",10,50,0,"0.2",0.143173822461086,1,"C","LRT","BW1",0.0602
"binary",10,50,0,"0.2",0.133496747678336,1,"D","LRT","BW1",0.0494
"count",10,50,0,"0.2",0.147976571216928,1,"A","LRT","BW1",0.0444
"count",10,50,0,"0.2",0.12375809361533,1,"B","LRT","BW1",0.0374
"count",10,50,0,"0.2",0.170855946403436,1,"C","LRT","BW1",0.0516
"count",10,50,0,"0.2",0.118526347654052,1,"D","LRT","BW1",0.0506
"binary",10,50,0.75,"0.001",0.0050265495724825,1,"A","LRT","BW1",0.0178
"binary",10,50,0.75,"0.001",0.00471594335157715,1,"B","LRT","BW1",0.0106
"binary",10,50,0.75,"0.001",0.00511391987801837,1,"C","LRT","BW1",0.0154
"binary",10,50,0.75,"0.001",0.00527814137414676,1,"D","LRT","BW1",0.0156
"count",10,50,0.75,"0.001",0.00492122817031411,1,"A","LRT","BW1",0.0126
"count",10,50,0.75,"0.001",0.00475330473058161,1,"B","LRT","BW1",0.016
"count",10,50,0.75,"0.001",0.00587371755252873,1,"C","LRT","BW1",0.0154
"count",10,50,0.75,"0.001",0.00645360540216789,1,"D","LRT","BW1",0.0132
"binary",10,50,0.75,"0.01",0.0106400594271415,1,"A","LRT","BW1",0.0282
"binary",10,50,0.75,"0.01",0.00976653669648495,1,"B","LRT","BW1",0.0222
"binary",10,50,0.75,"0.01",0.0105174729346279,1,"C","LRT","BW1",0.0252
"binary",10,50,0.75,"0.01",0.0102406926331259,1,"D","LRT","BW1",0.0192
"count",10,50,0.75,"0.01",0.00963691504704698,1,"A","LRT","BW1",0.0278
"count",10,50,0.75,"0.01",0.00882988859289993,1,"B","LRT","BW1",0.0258
"count",10,50,0.75,"0.01",0.011933239483525,1,"C","LRT","BW1",0.0296
"count",10,50,0.75,"0.01",0.0106559855751036,1,"D","LRT","BW1",0.0228
"binary",10,50,0.75,"0.05",0.0394968965207324,1,"A","LRT","BW1",0.0494
"binary",10,50,0.75,"0.05",0.0360913424607264,1,"B","LRT","BW1",0.0414
"binary",10,50,0.75,"0.05",0.0384168912792479,1,"C","LRT","BW1",0.0566
"binary",10,50,0.75,"0.05",0.0345773663394115,1,"D","LRT","BW1",0.0514
"count",10,50,0.75,"0.05",0.0352404499121122,1,"A","LRT","BW1",0.0522
"count",10,50,0.75,"0.05",0.0319916840698297,1,"B","LRT","BW1",0.0464
"count",10,50,0.75,"0.05",0.0449639146728799,1,"C","LRT","BW1",0.0606
"count",10,50,0.75,"0.05",0.0330740064939958,1,"D","LRT","BW1",0.0486
"binary",10,50,0.75,"0.1",0.0776964523031358,1,"A","LRT","BW1",0.0484
"binary",10,50,0.75,"0.1",0.0712768591133513,1,"B","LRT","BW1",0.04
"binary",10,50,0.75,"0.1",0.0739721326219098,1,"C","LRT","BW1",0.0616
"binary",10,50,0.75,"0.1",0.0679290902604407,1,"D","LRT","BW1",0.0526
"count",10,50,0.75,"0.1",0.0718131667229489,1,"A","LRT","BW1",0.0524
"count",10,50,0.75,"0.1",0.061533335635121,1,"B","LRT","BW1",0.0402
"count",10,50,0.75,"0.1",0.0883746438986668,1,"C","LRT","BW1",0.06
"count",10,50,0.75,"0.1",0.0634743346789727,1,"D","LRT","BW1",0.054
"binary",10,50,0.75,"0.2",0.14905352092301,1,"A","LRT","BW1",0.0488
"binary",10,50,0.75,"0.2",0.1394732205941,1,"B","LRT","BW1",0.044
"binary",10,50,0.75,"0.2",0.140791802469955,1,"C","LRT","BW1",0.0608
"binary",10,50,0.75,"0.2",0.135755110666004,1,"D","LRT","BW1",0.0558
"count",10,50,0.75,"0.2",0.148387649881267,1,"A","LRT","BW1",0.0464
"count",10,50,0.75,"0.2",0.123381274160705,1,"B","LRT","BW1",0.0434
"count",10,50,0.75,"0.2",0.172287192921143,1,"C","LRT","BW1",0.0628
"count",10,50,0.75,"0.2",0.121520265212795,1,"D","LRT","BW1",0.0538
"binary",10,50,1.5,"0.001",0.00689612061177327,1,"A","LRT","BW1",0.0154
"binary",10,50,1.5,"0.001",0.00661076186713522,1,"B","LRT","BW1",0.0102
"binary",10,50,1.5,"0.001",0.00871443389104437,1,"C","LRT","BW1",0.0154
"binary",10,50,1.5,"0.001",0.00796525940978338,1,"D","LRT","BW1",0.0112022404480896
"count",10,50,1.5,"0.001",0.00683605891048301,1,"A","LRT","BW1",0.015
"count",10,50,1.5,"0.001",0.00746902659149552,1,"B","LRT","BW1",0.0106
"count",10,50,1.5,"0.001",0.0105508556161224,1,"C","LRT","BW1",0.0136
"count",10,50,1.5,"0.001",0.012297794427795,1,"D","LRT","BW1",0.0104
"binary",10,50,1.5,"0.01",0.0121054528537085,1,"A","LRT","BW1",0.0286
"binary",10,50,1.5,"0.01",0.011794262893139,1,"B","LRT","BW1",0.0248
"binary",10,50,1.5,"0.01",0.0138837116633184,1,"C","LRT","BW1",0.033
"binary",10,50,1.5,"0.01",0.0126339435698936,1,"D","LRT","BW1",0.025
"count",10,50,1.5,"0.01",0.0114367960936982,1,"A","LRT","BW1",0.0282
"count",10,50,1.5,"0.01",0.0121063924398627,1,"B","LRT","BW1",0.023
"count",10,50,1.5,"0.01",0.016457675561705,1,"C","LRT","BW1",0.0340068013602721
"count",10,50,1.5,"0.01",0.0182572792371444,1,"D","LRT","BW1",0.0262
"binary",10,50,1.5,"0.05",0.0411045655772309,1,"A","LRT","BW1",0.0556
"binary",10,50,1.5,"0.05",0.0376897521793978,1,"B","LRT","BW1",0.0554
"binary",10,50,1.5,"0.05",0.0386722761955815,1,"C","LRT","BW1",0.0654
"binary",10,50,1.5,"0.05",0.0374812866781004,1,"D","LRT","BW1",0.053
"count",10,50,1.5,"0.05",0.0370351694122731,1,"A","LRT","BW1",0.0532
"count",10,50,1.5,"0.05",0.0357954962899095,1,"B","LRT","BW1",0.0466
"count",10,50,1.5,"0.05",0.0479540043335351,1,"C","LRT","BW1",0.0632
"count",10,50,1.5,"0.05",0.0394354373657695,1,"D","LRT","BW1",0.0614
"binary",10,50,1.5,"0.1",0.0768164363602903,1,"A","LRT","BW1",0.0636
"binary",10,50,1.5,"0.1",0.0698077236715471,1,"B","LRT","BW1",0.056
"binary",10,50,1.5,"0.1",0.0740738555051991,1,"C","LRT","BW1",0.0746
"binary",10,50,1.5,"0.1",0.0676667357745491,1,"D","LRT","BW1",0.0682
"count",10,50,1.5,"0.1",0.072639760583122,1,"A","LRT","BW1",0.06
"count",10,50,1.5,"0.1",0.065278537244778,1,"B","LRT","BW1",0.0584
"count",10,50,1.5,"0.1",0.0891182604400014,1,"C","LRT","BW1",0.0762
"count",10,50,1.5,"0.1",0.0694103079451753,1,"D","LRT","BW1",0.0678
"binary",10,50,1.5,"0.2",0.147854215815138,1,"A","LRT","BW1",0.0596
"binary",10,50,1.5,"0.2",0.138017013307152,1,"B","LRT","BW1",0.0544
"binary",10,50,1.5,"0.2",0.140576253495559,1,"C","LRT","BW1",0.0822164432886577
"binary",10,50,1.5,"0.2",0.131338322964859,1,"D","LRT","BW1",0.0684
"count",10,50,1.5,"0.2",0.14897875466742,1,"A","LRT","BW1",0.0582
"count",10,50,1.5,"0.2",0.126583688302774,1,"B","LRT","BW1",0.0478
"count",10,50,1.5,"0.2",0.175274046048603,1,"C","LRT","BW1",0.0748
"count",10,50,1.5,"0.2",0.128722363404912,1,"D","LRT","BW1",0.066
"binary",10,100,0,"0.001",0.00248489664540429,1,"A","LRT","BW1",0.0166
"binary",10,100,0,"0.001",0.00241729684490063,1,"B","LRT","BW1",0.0124
"binary",10,100,0,"0.001",0.00264242007077347,1,"C","LRT","BW1",0.0206
"binary",10,100,0,"0.001",0.00249360402936634,1,"D","LRT","BW1",0.0116
"count",10,100,0,"0.001",0.00239844071292954,1,"A","LRT","BW1",0.0142
"count",10,100,0,"0.001",0.00233065060728465,1,"B","LRT","BW1",0.0122
"count",10,100,0,"0.001",0.00275525964940247,1,"C","LRT","BW1",0.0168
"count",10,100,0,"0.001",0.00241450800829599,1,"D","LRT","BW1",0.0136
"binary",10,100,0,"0.01",0.00871873121015693,1,"A","LRT","BW1",0.0306
"binary",10,100,0,"0.01",0.00778893075450095,1,"B","LRT","BW1",0.0304
"binary",10,100,0,"0.01",0.00813882400758409,1,"C","LRT","BW1",0.0388
"binary",10,100,0,"0.01",0.00761047481962039,1,"D","LRT","BW1",0.0258
"count",10,100,0,"0.01",0.00756113330845311,1,"A","LRT","BW1",0.0324
"count",10,100,0,"0.01",0.00691961969462596,1,"B","LRT","BW1",0.023
"count",10,100,0,"0.01",0.00950410422987814,1,"C","LRT","BW1",0.0384
"count",10,100,0,"0.01",0.00727632004404997,1,"D","LRT","BW1",0.0284
"binary",10,100,0,"0.05",0.0404780977693446,1,"A","LRT","BW1",0.0498
